#freq EAS EAS_smooth
2.929688e+00 1.346597e+01 1.326978e+01
2.954102e+00 1.425586e+01 1.370182e+01
2.978516e+00 1.414986e+01 1.350538e+01
3.002930e+00 1.310400e+01 1.255358e+01
3.027344e+00 1.125566e+01 1.102306e+01
3.051758e+00 9.037778e+00 9.322445e+00
3.076172e+00 7.330351e+00 7.884740e+00
3.100586e+00 6.636409e+00 6.903179e+00
3.125000e+00 6.272346e+00 6.287223e+00
3.149414e+00 5.755186e+00 5.869049e+00
3.173828e+00 5.472131e+00 5.548746e+00
3.198242e+00 5.398203e+00 5.297007e+00
3.222656e+00 4.939062e+00 5.219705e+00
3.247070e+00 4.611681e+00 5.580009e+00
3.271484e+00 5.935891e+00 6.517833e+00
3.295898e+00 8.182764e+00 7.725333e+00
3.320312e+00 9.683309e+00 8.568728e+00
3.344727e+00 9.631524e+00 8.599196e+00
3.369141e+00 8.140813e+00 7.934608e+00
3.393555e+00 6.290704e+00 7.155025e+00
3.417969e+00 5.847577e+00 6.821921e+00
3.442383e+00 6.859028e+00 7.088035e+00
3.466797e+00 7.819423e+00 7.754398e+00
3.491211e+00 8.442319e+00 8.597242e+00
3.515625e+00 9.307724e+00 9.525837e+00
3.540039e+00 1.054570e+01 1.046915e+01
3.564453e+00 1.170365e+01 1.124192e+01
3.588867e+00 1.238077e+01 1.156687e+01
3.613281e+00 1.224569e+01 1.122277e+01
3.637695e+00 1.096092e+01 1.022812e+01
3.662109e+00 8.649637e+00 8.926344e+00
3.686523e+00 6.565249e+00 7.825390e+00
3.710938e+00 6.411010e+00 7.275168e+00
3.735352e+00 7.234038e+00 7.314976e+00
3.759766e+00 7.509805e+00 7.832010e+00
3.784180e+00 7.866730e+00 8.750582e+00
3.808594e+00 9.525572e+00 9.971923e+00
3.833008e+00 1.185812e+01 1.119804e+01
3.857422e+00 1.343890e+01 1.195311e+01
3.881836e+00 1.346249e+01 1.184421e+01
3.906250e+00 1.187839e+01 1.082099e+01
3.930664e+00 9.260323e+00 9.221725e+00
3.955078e+00 6.637098e+00 7.591802e+00
3.979492e+00 5.129819e+00 6.409007e+00
4.003906e+00 4.982013e+00 5.885265e+00
4.028320e+00 5.541058e+00 5.949147e+00
4.052734e+00 6.362170e+00 6.389534e+00
4.077148e+00 7.042566e+00 7.034709e+00
4.101562e+00 7.449025e+00 7.825798e+00
4.125977e+00 8.215031e+00 8.736383e+00
4.150391e+00 9.815448e+00 9.630595e+00
4.174805e+00 1.143834e+01 1.021988e+01
4.199219e+00 1.191076e+01 1.019662e+01
4.223633e+00 1.075965e+01 9.454703e+00
4.248047e+00 8.383766e+00 8.209010e+00
4.272461e+00 5.822124e+00 6.898661e+00
4.296875e+00 4.419358e+00 5.939779e+00
4.321289e+00 4.673428e+00 5.516436e+00
4.345703e+00 5.459647e+00 5.554692e+00
4.370117e+00 6.004152e+00 5.865746e+00
4.394531e+00 6.253046e+00 6.318817e+00
4.418945e+00 6.464649e+00 6.910893e+00
4.443359e+00 6.990581e+00 7.705845e+00
4.467773e+00 8.143692e+00 8.716945e+00
4.492188e+00 9.900886e+00 9.836135e+00
4.516602e+00 1.167395e+01 1.086693e+01
4.541016e+00 1.268332e+01 1.163154e+01
4.565430e+00 1.264072e+01 1.205807e+01
4.589844e+00 1.214388e+01 1.217212e+01
4.614258e+00 1.211660e+01 1.201525e+01
4.638672e+00 1.243007e+01 1.159014e+01
4.663086e+00 1.200516e+01 1.089499e+01
4.687500e+00 1.033335e+01 9.995577e+00
4.711914e+00 8.212636e+00 9.035281e+00
4.736328e+00 7.217707e+00 8.163167e+00
4.760742e+00 7.438331e+00 7.463301e+00
4.785156e+00 7.316023e+00 6.959024e+00
4.809570e+00 6.245453e+00 6.662354e+00
4.833984e+00 5.263216e+00 6.585035e+00
4.858398e+00 5.975462e+00 6.695092e+00
4.882812e+00 7.544450e+00 6.892311e+00
4.907227e+00 8.245409e+00 7.059772e+00
4.931641e+00 7.516232e+00 7.148630e+00
4.956055e+00 6.239038e+00 7.204489e+00
4.980469e+00 6.349981e+00 7.309389e+00
5.004883e+00 7.691059e+00 7.504249e+00
5.029297e+00 8.391045e+00 7.764464e+00
5.053711e+00 8.063942e+00 8.031873e+00
5.078125e+00 7.874589e+00 8.252750e+00
5.102539e+00 8.574153e+00 8.385578e+00
5.126953e+00 9.161684e+00 8.389338e+00
5.151367e+00 8.848996e+00 8.224878e+00
5.175781e+00 8.141961e+00 7.882518e+00
5.200195e+00 7.729798e+00 7.413856e+00
5.224609e+00 7.098158e+00 6.930571e+00
5.249023e+00 5.630562e+00 6.553931e+00
5.273438e+00 4.639738e+00 6.341814e+00
5.297852e+00 6.003843e+00 6.248290e+00
5.322266e+00 7.607848e+00 6.153290e+00
5.346680e+00 7.574212e+00 5.945729e+00
5.371094e+00 5.898349e+00 5.598421e+00
5.395508e+00 4.043151e+00 5.178643e+00
5.419922e+00 3.863045e+00 4.791216e+00
5.444336e+00 4.405838e+00 4.504919e+00
5.468750e+00 4.442201e+00 4.320467e+00
5.493164e+00 4.338883e+00 4.196372e+00
5.517578e+00 4.366636e+00 4.099435e+00
5.541992e+00 4.030792e+00 4.033357e+00
5.566406e+00 3.309056e+00 4.026778e+00
5.590820e+00 3.297103e+00 4.098202e+00
5.615234e+00 4.242735e+00 4.228907e+00
5.639648e+00 4.963059e+00 4.362206e+00
5.664062e+00 5.016256e+00 4.426969e+00
5.688477e+00 4.752795e+00 4.371316e+00
5.712891e+00 4.562882e+00 4.191339e+00
5.737305e+00 4.292090e+00 3.943632e+00
5.761719e+00 3.594946e+00 3.736110e+00
5.786133e+00 2.530245e+00 3.698190e+00
5.810547e+00 2.048668e+00 3.938321e+00
5.834961e+00 3.130977e+00 4.502018e+00
5.859375e+00 4.738081e+00 5.344775e+00
5.883789e+00 6.338559e+00 6.330830e+00
5.908203e+00 7.958869e+00 7.261611e+00
5.932617e+00 9.507121e+00 7.927884e+00
5.957031e+00 1.048962e+01 8.169841e+00
5.981445e+00 1.030600e+01 7.924769e+00
6.005859e+00 8.750099e+00 7.245735e+00
6.030273e+00 6.281283e+00 6.286006e+00
6.054688e+00 3.972528e+00 5.256720e+00
6.079102e+00 2.955454e+00 4.373696e+00
6.103516e+00 2.690706e+00 3.809124e+00
6.127930e+00 2.057462e+00 3.657837e+00
6.152344e+00 1.818384e+00 3.921648e+00
6.176758e+00 3.282400e+00 4.512865e+00
6.201172e+00 5.340255e+00 5.278123e+00
6.225586e+00 7.245971e+00 6.039896e+00
6.250000e+00 8.516688e+00 6.644861e+00
6.274414e+00 8.746704e+00 7.001369e+00
6.298828e+00 7.913748e+00 7.090862e+00
6.323242e+00 6.685035e+00 6.951595e+00
6.347656e+00 6.169179e+00 6.645880e+00
6.372070e+00 6.485326e+00 6.232796e+00
6.396484e+00 6.570018e+00 5.758347e+00
6.420898e+00 5.830018e+00 5.262656e+00
6.445312e+00 4.563570e+00 4.791412e+00
6.469727e+00 3.506168e+00 4.398555e+00
6.494141e+00 3.045801e+00 4.136425e+00
6.518555e+00 3.023682e+00 4.039034e+00
6.542969e+00 3.442853e+00 4.110297e+00
6.567383e+00 4.171058e+00 4.321658e+00
6.591797e+00 4.770336e+00 4.620462e+00
6.616211e+00 5.079417e+00 4.943855e+00
6.640625e+00 5.364203e+00 5.233253e+00
6.665039e+00 5.862263e+00 5.446063e+00
6.689453e+00 6.352113e+00 5.562740e+00
6.713867e+00 6.409069e+00 5.587424e+00
6.738281e+00 5.853128e+00 5.541380e+00
6.762695e+00 4.955144e+00 5.451263e+00
6.787109e+00 4.478411e+00 5.337369e+00
6.811523e+00 4.959268e+00 5.207677e+00
6.835938e+00 5.738429e+00 5.060628e+00
6.860352e+00 5.940162e+00 4.894704e+00
6.884766e+00 5.258939e+00 4.718938e+00
6.909180e+00 4.022119e+00 4.557829e+00
6.933594e+00 3.219241e+00 4.446986e+00
6.958008e+00 3.590913e+00 4.420671e+00
6.982422e+00 4.239216e+00 4.496797e+00
7.006836e+00 4.431929e+00 4.666463e+00
7.031250e+00 4.423217e+00 4.893046e+00
7.055664e+00 4.965028e+00 5.121377e+00
7.080078e+00 6.055086e+00 5.293209e+00
7.104492e+00 6.847302e+00 5.363041e+00
7.128906e+00 6.693885e+00 5.309443e+00
7.153320e+00 5.609328e+00 5.138127e+00
7.177734e+00 4.373767e+00 4.878143e+00
7.202148e+00 4.039511e+00 4.572229e+00
7.226562e+00 4.300877e+00 4.265193e+00
7.250977e+00 4.092943e+00 3.993667e+00
7.275391e+00 3.281229e+00 3.779921e+00
7.299805e+00 2.742763e+00 3.631084e+00
7.324219e+00 3.160301e+00 3.543378e+00
7.348633e+00 3.707198e+00 3.508608e+00
